,days,balance,sharpe,sortino,return,fee,drawdown,num_trades,q_trades
333,0.05032407407407408,1.9824289162013453,-122.4202900488176,-163.15166307330946,-0.9286958963117486,0.0,0.8975898747681343,34.963938434183476,6.992787686836684
334,0.04826510416666666,1.9557471514507607,-90.24729456417454,-98.92490204883337,-2.2185006818253528,0.0,3.1568669140484507,46.122020336722784,9.224404067344572
335,0.046635937499999995,2.025419717897047,75.77193278697612,143.5284553700378,0.8898405803816622,0.0,0.3897348128276912,41.34389064844141,8.268778129688277
336,0.04976609953703704,2.0206368937903583,87.78716458586716,105.34439421550209,1.0576890860683918,0.0,0.49775447794178085,45.72414846918931,9.14482969383788
337,0.05069357638888889,2.0086322094376614,1.5123705328270847,1.7171036716125634,0.03522663298680673,0.0,0.89317359144232,31.268628104684115,6.253725620936809
338,0.04956550925925926,2.0257982226201907,91.30549358158817,230.86748681712365,1.634370464678625,0.0,0.710653233920977,39.94554647996888,7.989109295993777
339,0.05167633101851852,2.012432374364648,64.13677336216865,161.96594509100566,0.9327783590374339,0.0,0.7861637316706638,50.138661999222094,10.02773239984445
340,0.05214373842592593,2.008327056565767,108.96471307642864,283.82859086483984,0.5415424182158457,0.0,0.24382754126566208,45.846557759626606,9.169311551925345
341,0.05260701388888889,2.004222239798413,18.53244409750887,42.37601255485958,-0.03319963069390308,0.0,0.5844038881094638,36.67919653275546,7.3358393065510885
342,0.05050355324074074,2.006537646920058,-42.35928506877827,-47.94838420708304,-0.4214036150519074,0.0,0.7870661424861702,42.16947268989276,8.433894537978562
343,0.04724972222222223,2.037792990073694,233.38904077657276,556.0478836305213,2.2736266652480963,0.0,0.21313945393914846,39.00591765294216,7.801183530588425
344,0.050521145833333336,2.015302912688416,158.7900718495271,297.1351795843783,1.1542624399813795,0.0,0.3008115538891909,52.16011001833639,10.432022003667319
345,0.0514490162037037,2.0046642726960484,27.44694206361106,65.13291047955876,0.24725379425492022,0.0,0.5043611351028598,47.81257987442351,9.562515974884727
346,0.05026149305555555,1.9977209828324316,-26.65058295736636,-44.74290643968668,-0.24567905588253058,0.0,1.167055420627583,35.68125243096072,7.1362504861921305
347,0.04659063657407408,2.0022766282073414,48.513520847123786,132.25319885562536,0.4010093586677588,0.0,0.3701906868113669,40.2083124965272,8.041662499305433
348,0.0469437037037037,1.9901450599237867,-79.43251867928828,-122.3766263950364,-0.7983451515343409,0.0,0.9221054317422372,53.91895871534145,10.783791743068319
349,0.04698707175925926,2.0236784689947225,94.11113360134357,139.9403257077025,1.5995877173377804,0.0,0.9306446596379692,51.02628215813747,10.205256431627516
